x,y,speed,accel,direction,orientation
34.89,31.14,0.49,0.77,68.59,113.69
-2.3700000000000045,10.61,0.14,0.09,23.13,250.17
88.64,23.93,4.71,3.79,184.44,118.91
37.04,36.31,3.62,4.34,280.0,292.94
18.260000000000005,29.87,2.18,0.64,82.45,351.15
7.040000000000006,27.5,0.41,0.39,356.31,261.69
52.41,38.2,4.45,0.61,91.91,135.78
25.840000000000003,31.68,6.85,3.85,291.67,310.88
38.93,17.45,0.16,1.3,90.07,103.49
37.24,30.63,0.02,0.3,134.94,101.09
25.930000000000007,42.88,1.45,1.75,262.24,114.38
-4.730000000000004,12.12,3.31,1.63,105.31,333.43
42.08,7.91,4.21,2.91,18.19,35.65
1.6400000000000006,21.23,6.28,1.56,53.22,348.79
70.91,18.79,4.91,1.89,163.76,165.68
33.5,16.02,4.84,1.27,158.66,282.37
17.840000000000003,20.4,1.98,2.36,177.67,98.64
72.59,25.54,2.82,1.52,263.17,124.38
49.13,29.95,2.54,2.09,44.16,244.31
20.14,8.57,5.16,4.56,271.48,243.32
73.9,27.49,0.06,0.92,109.69,279.5
43.41,16.28,6.17,2.25,111.59,109.16
47.53,26.42,2.92,1.18,193.48,117.33
59.48,25.42,7.46,0.65,351.83,326.82
6.069999999999993,18.53,6.84,1.6,184.01,148.8
77.7,12.14,6.09,1.24,183.95,258.64
35.879999999999995,37.04,0.9,1.22,276.98,92.22
45.62,34.21,1.46,0.94,278.72,254.03
36.66,25.13,0.16,1.48,176.3,278.68
49.96,15.49,2.01,4.98,54.87,304.03
46.66,31.23,0.99,0.89,104.65,251.43
60.96,35.05,0.72,3.16,245.86,272.36
42.06,20.09,5.04,0.3,47.27,33.19
66.93,37.3,3.92,2.48,333.99,64.36
4.680000000000007,21.91,0.63,0.92,197.44,241.88
73.96000000000001,31.69,0.04,0.93,105.66,32.5
72.65,33.26,3.26,3.64,89.42,97.75
34.150000000000006,30.92,4.32,1.39,98.38,127.5
31.560000000000002,14.84,5.87,1.82,305.06,354.89
29.97,10.66,1.89,2.62,210.45,84.21
3.6299999999999955,30.95,0.01,0.01,237.25,287.7
37.73,31.83,5.01,3.38,168.18,133.76
17.549999999999997,43.78,6.94,1.38,275.78,267.26
20.78,44.87,4.47,4.79,270.42,275.11
40.94,33.31,4.12,2.47,130.26,247.09
36.7,24.6,5.74,4.74,32.48,354.2
2.5900000000000034,16.72,4.13,5.3,267.99,270.77
73.57,33.45,4.04,5.41,352.01,43.77
26.019999999999996,14.86,5.08,1.6,174.95,106.46
33.34,39.41,0.83,4.96,109.62,252.03
-2.269999999999996,29.62,3.23,2.47,255.89,156.43
30.299999999999997,29.72,3.9,2.95,164.35,109.22
10.310000000000002,36.23,6.18,2.27,251.14,242.98
25.590000000000003,17.13,0.48,2.76,102.13,99.99
44.97,16.99,6.9,0.47,205.31,125.27
30.840000000000003,15.06,6.5,1.75,282.75,307.99
27.040000000000006,32.56,7.64,1.13,10.95,332.63
42.29,42.64,1.93,2.01,75.65,212.68
58.63,35.93,7.74,1.7,91.76,118.94
50.75,28.45,2.64,3.15,253.46,156.27
31.489999999999995,30.28,0.99,0.62,307.67,156.92
43.27,38.18,0.33,2.27,67.48,89.12
44.89,32.12,0.4,1.75,251.5,277.73
34.44,27.64,1.39,0.3,286.29,105.06
11.489999999999995,29.85,2.78,1.14,259.69,125.27
2.3400000000000034,26.57,0.99,1.17,110.27,293.9
29.730000000000004,23.89,6.1,1.33,354.93,28.01
52.59,29.63,1.92,1.34,100.5,142.44
29.370000000000005,35.46,3.43,1.63,278.49,154.54
69.2,32.28,0.67,0.23,124.46,110.82
19.489999999999995,43.74,3.18,1.62,268.6,181.54
20.120000000000005,32.38,0.08,0.84,91.45,341.03
24.17,33.14,0.31,0.88,336.36,66.5
63.79,21.68,4.87,4.82,87.73,95.37
29.560000000000002,18.87,7.18,4.94,226.41,205.99
64.4,27.96,3.73,1.49,351.2,90.14
31.299999999999997,26.64,4.1,0.6,111.79,209.44
32.19,42.79,8.44,1.05,51.02,87.69
60.03,24.54,6.43,2.79,20.39,322.24
1.6200000000000045,28.92,2.38,1.49,26.73,242.51
19.53,24.93,1.29,3.0,298.32,63.82
37.07,19.05,3.94,5.1,274.66,259.61
34.7,30.43,5.73,5.59,338.31,15.89
5.540000000000006,43.25,0.5,0.79,120.1,221.08
52.37,31.51,4.38,1.86,214.12,136.03
21.379999999999995,30.54,0.9,1.5,260.16,86.01
60.45,10.85,3.7,1.89,286.26,293.0
73.2,19.63,4.53,3.26,309.54,285.57
23.049999999999997,9.88,4.3,1.85,319.17,44.88
27.480000000000004,28.48,6.95,0.84,350.66,14.48
37.33,40.1,5.81,1.67,335.2,351.99
56.95,33.87,3.7,2.93,153.68,272.95
65.21000000000001,13.36,3.99,3.73,354.04,312.48
40.01,17.6,0.23,0.31,191.2,81.15
29.489999999999995,16.13,4.35,5.96,52.05,76.77
34.22,26.56,4.22,2.65,24.41,325.79
69.44,17.45,0.9,2.18,99.84,273.52
63.59,27.0,2.7,3.37,87.77,323.34
0.6800000000000068,26.49,4.45,2.73,18.45,4.15
71.97,40.95,2.28,1.32,294.38,122.97
