x,y,speed,accel,direction,orientation
65.11,31.14,0.49,0.77,68.59,113.69
102.37,10.61,0.14,0.09,23.13,250.17
11.36,23.93,4.71,3.79,184.44,118.91
62.96,36.31,3.62,4.34,280.0,292.94
81.74,29.87,2.18,0.64,82.45,351.15
92.96,27.5,0.41,0.39,356.31,261.69
47.59,38.2,4.45,0.61,91.91,135.78
74.16,31.68,6.85,3.85,291.67,310.88
61.07,17.45,0.16,1.3,90.07,103.49
62.76,30.63,0.02,0.3,134.94,101.09
74.07,42.88,1.45,1.75,262.24,114.38
104.73,12.12,3.31,1.63,105.31,333.43
57.92,7.91,4.21,2.91,18.19,35.65
98.36,21.23,6.28,1.56,53.22,348.79
29.09,18.79,4.91,1.89,163.76,165.68
66.5,16.02,4.84,1.27,158.66,282.37
82.16,20.4,1.98,2.36,177.67,98.64
27.41,25.54,2.82,1.52,263.17,124.38
50.87,29.95,2.54,2.09,44.16,244.31
79.86,8.57,5.16,4.56,271.48,243.32
26.1,27.49,0.06,0.92,109.69,279.5
56.59,16.28,6.17,2.25,111.59,109.16
52.47,26.42,2.92,1.18,193.48,117.33
40.52,25.42,7.46,0.65,351.83,326.82
93.93,18.53,6.84,1.6,184.01,148.8
22.3,12.14,6.09,1.24,183.95,258.64
64.12,37.04,0.9,1.22,276.98,92.22
54.38,34.21,1.46,0.94,278.72,254.03
63.34,25.13,0.16,1.48,176.3,278.68
50.04,15.49,2.01,4.98,54.87,304.03
53.34,31.23,0.99,0.89,104.65,251.43
39.04,35.05,0.72,3.16,245.86,272.36
57.94,20.09,5.04,0.3,47.27,33.19
33.07,37.3,3.92,2.48,333.99,64.36
95.32,21.91,0.63,0.92,197.44,241.88
26.04,31.69,0.04,0.93,105.66,32.5
27.35,33.26,3.26,3.64,89.42,97.75
65.85,30.92,4.32,1.39,98.38,127.5
68.44,14.84,5.87,1.82,305.06,354.89
70.03,10.66,1.89,2.62,210.45,84.21
96.37,30.95,0.01,0.01,237.25,287.7
62.27,31.83,5.01,3.38,168.18,133.76
82.45,43.78,6.94,1.38,275.78,267.26
79.22,44.87,4.47,4.79,270.42,275.11
59.06,33.31,4.12,2.47,130.26,247.09
63.3,24.6,5.74,4.74,32.48,354.2
97.41,16.72,4.13,5.3,267.99,270.77
26.43,33.45,4.04,5.41,352.01,43.77
73.98,14.86,5.08,1.6,174.95,106.46
66.66,39.41,0.83,4.96,109.62,252.03
102.27,29.62,3.23,2.47,255.89,156.43
69.7,29.72,3.9,2.95,164.35,109.22
89.69,36.23,6.18,2.27,251.14,242.98
74.41,17.13,0.48,2.76,102.13,99.99
55.03,16.99,6.9,0.47,205.31,125.27
69.16,15.06,6.5,1.75,282.75,307.99
72.96,32.56,7.64,1.13,10.95,332.63
57.71,42.64,1.93,2.01,75.65,212.68
41.37,35.93,7.74,1.7,91.76,118.94
49.25,28.45,2.64,3.15,253.46,156.27
68.51,30.28,0.99,0.62,307.67,156.92
56.73,38.18,0.33,2.27,67.48,89.12
55.11,32.12,0.4,1.75,251.5,277.73
65.56,27.64,1.39,0.3,286.29,105.06
88.51,29.85,2.78,1.14,259.69,125.27
97.66,26.57,0.99,1.17,110.27,293.9
70.27,23.89,6.1,1.33,354.93,28.01
47.41,29.63,1.92,1.34,100.5,142.44
70.63,35.46,3.43,1.63,278.49,154.54
30.8,32.28,0.67,0.23,124.46,110.82
80.51,43.74,3.18,1.62,268.6,181.54
79.88,32.38,0.08,0.84,91.45,341.03
75.83,33.14,0.31,0.88,336.36,66.5
36.21,21.68,4.87,4.82,87.73,95.37
70.44,18.87,7.18,4.94,226.41,205.99
35.6,27.96,3.73,1.49,351.2,90.14
68.7,26.64,4.1,0.6,111.79,209.44
67.81,42.79,8.44,1.05,51.02,87.69
39.97,24.54,6.43,2.79,20.39,322.24
98.38,28.92,2.38,1.49,26.73,242.51
80.47,24.93,1.29,3.0,298.32,63.82
62.93,19.05,3.94,5.1,274.66,259.61
65.3,30.43,5.73,5.59,338.31,15.89
94.46,43.25,0.5,0.79,120.1,221.08
47.63,31.51,4.38,1.86,214.12,136.03
78.62,30.54,0.9,1.5,260.16,86.01
39.55,10.85,3.7,1.89,286.26,293.0
26.8,19.63,4.53,3.26,309.54,285.57
76.95,9.88,4.3,1.85,319.17,44.88
72.52,28.48,6.95,0.84,350.66,14.48
62.67,40.1,5.81,1.67,335.2,351.99
43.05,33.87,3.7,2.93,153.68,272.95
34.79,13.36,3.99,3.73,354.04,312.48
59.99,17.6,0.23,0.31,191.2,81.15
70.51,16.13,4.35,5.96,52.05,76.77
65.78,26.56,4.22,2.65,24.41,325.79
30.56,17.45,0.9,2.18,99.84,273.52
36.41,27.0,2.7,3.37,87.77,323.34
99.32,26.49,4.45,2.73,18.45,4.15
28.03,40.95,2.28,1.32,294.38,122.97
