x,y,speed,accel,direction,orientation
34.89,21.86,0.49,0.77,68.59,113.69
-2.3700000000000045,42.39000000000001,0.14,0.09,23.13,250.17
88.64,29.069999999999997,4.71,3.79,184.44,118.91
37.04,16.689999999999998,3.62,4.34,280.0,292.94
18.260000000000005,23.130000000000003,2.18,0.64,82.45,351.15
7.040000000000006,25.500000000000004,0.41,0.39,356.31,261.69
52.41,14.799999999999997,4.45,0.61,91.91,135.78
25.840000000000003,21.320000000000004,6.85,3.85,291.67,310.88
38.93,35.550000000000004,0.16,1.3,90.07,103.49
37.24,22.370000000000005,0.02,0.3,134.94,101.09
25.930000000000003,10.120000000000001,1.45,1.75,262.24,114.38
-4.730000000000004,40.88000000000001,3.31,1.63,105.31,333.43
42.08,45.09,4.21,2.91,18.19,35.65
1.6400000000000006,31.770000000000007,6.28,1.56,53.22,348.79
70.91,34.21,4.91,1.89,163.76,165.68
33.5,36.980000000000004,4.84,1.27,158.66,282.37
17.840000000000003,32.60000000000001,1.98,2.36,177.67,98.64
72.59,27.459999999999997,2.82,1.52,263.17,124.38
49.13,23.05,2.54,2.09,44.16,244.31
20.140000000000004,44.43000000000001,5.16,4.56,271.48,243.32
73.9,25.509999999999998,0.06,0.92,109.69,279.5
43.41,36.72,6.17,2.25,111.59,109.16
47.53,26.58,2.92,1.18,193.48,117.33
59.48,27.58,7.46,0.65,351.83,326.82
6.069999999999993,34.470000000000006,6.84,1.6,184.01,148.8
77.7,40.86,6.09,1.24,183.95,258.64
35.879999999999995,15.960000000000003,0.9,1.22,276.98,92.22
45.62,18.79,1.46,0.94,278.72,254.03
36.66,27.87,0.16,1.48,176.3,278.68
49.96,37.51,2.01,4.98,54.87,304.03
46.66,21.77,0.99,0.89,104.65,251.43
60.96,17.950000000000003,0.72,3.16,245.86,272.36
42.06,32.910000000000004,5.04,0.3,47.27,33.19
66.93,15.700000000000001,3.92,2.48,333.99,64.36
4.680000000000007,31.090000000000003,0.63,0.92,197.44,241.88
73.96000000000001,21.309999999999995,0.04,0.93,105.66,32.5
72.65,19.74,3.26,3.64,89.42,97.75
34.150000000000006,22.08,4.32,1.39,98.38,127.5
31.560000000000002,38.160000000000004,5.87,1.82,305.06,354.89
29.970000000000002,42.34,1.89,2.62,210.45,84.21
3.6299999999999955,22.050000000000004,0.01,0.01,237.25,287.7
37.73,21.17,5.01,3.38,168.18,133.76
17.549999999999997,9.220000000000002,6.94,1.38,275.78,267.26
20.779999999999998,8.130000000000006,4.47,4.79,270.42,275.11
40.94,19.689999999999998,4.12,2.47,130.26,247.09
36.7,28.4,5.74,4.74,32.48,354.2
2.5900000000000034,36.28000000000001,4.13,5.3,267.99,270.77
73.57,19.549999999999994,4.04,5.41,352.01,43.77
26.019999999999996,38.14,5.08,1.6,174.95,106.46
33.34,13.590000000000005,0.83,4.96,109.62,252.03
-2.269999999999996,23.380000000000006,3.23,2.47,255.89,156.43
30.299999999999997,23.280000000000005,3.9,2.95,164.35,109.22
10.310000000000002,16.77000000000001,6.18,2.27,251.14,242.98
25.590000000000003,35.870000000000005,0.48,2.76,102.13,99.99
44.97,36.010000000000005,6.9,0.47,205.31,125.27
30.840000000000003,37.94,6.5,1.75,282.75,307.99
27.040000000000006,20.44,7.64,1.13,10.95,332.63
42.29,10.36,1.93,2.01,75.65,212.68
58.63,17.07,7.74,1.7,91.76,118.94
50.75,24.55,2.64,3.15,253.46,156.27
31.489999999999995,22.720000000000002,0.99,0.62,307.67,156.92
43.27,14.82,0.33,2.27,67.48,89.12
44.89,20.880000000000003,0.4,1.75,251.5,277.73
34.44,25.360000000000003,1.39,0.3,286.29,105.06
11.489999999999995,23.150000000000002,2.78,1.14,259.69,125.27
2.3400000000000034,26.430000000000007,0.99,1.17,110.27,293.9
29.730000000000004,29.110000000000003,6.1,1.33,354.93,28.01
52.59,23.37,1.92,1.34,100.5,142.44
29.370000000000005,17.54,3.43,1.63,278.49,154.54
69.2,20.719999999999995,0.67,0.23,124.46,110.82
19.48999999999999,9.260000000000002,3.18,1.62,268.6,181.54
20.120000000000005,20.62,0.08,0.84,91.45,341.03
24.17,19.860000000000003,0.31,0.88,336.36,66.5
63.79,31.32,4.87,4.82,87.73,95.37
29.560000000000002,34.13,7.18,4.94,226.41,205.99
64.4,25.04,3.73,1.49,351.2,90.14
31.299999999999997,26.360000000000003,4.1,0.6,111.79,209.44
32.19,10.210000000000004,8.44,1.05,51.02,87.69
60.03,28.46,6.43,2.79,20.39,322.24
1.6200000000000045,24.080000000000005,2.38,1.49,26.73,242.51
19.53,28.070000000000004,1.29,3.0,298.32,63.82
37.07,33.95,3.94,5.1,274.66,259.61
34.7,22.57,5.73,5.59,338.31,15.89
5.540000000000006,9.750000000000007,0.5,0.79,120.1,221.08
52.37,21.49,4.38,1.86,214.12,136.03
21.379999999999995,22.460000000000004,0.9,1.5,260.16,86.01
60.45,42.15,3.7,1.89,286.26,293.0
73.2,33.37,4.53,3.26,309.54,285.57
23.05,43.120000000000005,4.3,1.85,319.17,44.88
27.480000000000004,24.520000000000003,6.95,0.84,350.66,14.48
37.33,12.9,5.81,1.67,335.2,351.99
56.95,19.130000000000003,3.7,2.93,153.68,272.95
65.21000000000001,39.64,3.99,3.73,354.04,312.48
40.01,35.4,0.23,0.31,191.2,81.15
29.489999999999995,36.870000000000005,4.35,5.96,52.05,76.77
34.22,26.440000000000005,4.22,2.65,24.41,325.79
69.44,35.55,0.9,2.18,99.84,273.52
63.59,26.0,2.7,3.37,87.77,323.34
0.6800000000000068,26.51000000000001,4.45,2.73,18.45,4.15
71.97,12.049999999999994,2.28,1.32,294.38,122.97
