run_id,timestamp,git_commit,data_hash,config_hash,seed,component,metric_name,metric_value,latency_ms,params_json,notes
run_20241206_140530,2025-12-06T13:04:01.674516Z,a1b2c3d,41c0ed4f,cfg456,42,classic,accuracy,0.852,12.3,"{""model"":""random_forest"",""n_estimators"":100,""max_depth"":10}",baseline
run_20241206_141215,2025-12-06T13:11:01.674516Z,a1b2c3d,41c0ed4f,cfg456,42,classic,accuracy,0.861,8.5,"{""model"":""xgboost"",""n_estimators"":100,""max_depth"":6,""learning_rate"":0.1}",best_classic
run_20241206_141530,2025-12-06T13:14:01.674516Z,a1b2c3d,41c0ed4f,cfg456,42,classic,f1_score,0.8,8.5,"{""model"":""xgboost"",""n_estimators"":100}",f1_metric
run_20241206_142045,2025-12-06T13:19:01.674516Z,a1b2c3d,41c0ed4f,cfg456,42,neural,accuracy,0.847,45.0,"{""model"":""mlp"",""hidden_sizes"":[128,64],""dropout"":0.3,""mc_dropout"":true}",with_mc_dropout
run_20241206_142320,2025-12-06T13:22:01.674516Z,a1b2c3d,41c0ed4f,cfg456,42,neural,ece,0.12,45.0,"{""model"":""mlp"",""calibration"":""temperature_scaling""}",calibration_error
run_20241206_142540,2025-12-06T13:25:01.674516Z,a1b2c3d,41c0ed4f,cfg456,42,sequential,traj_mse,2.34,18.0,"{""model"":""lstm"",""hidden_size"":64,""num_layers"":2,""dropout"":0.2}",trajectory_forecast
run_20241206_142815,2025-12-06T13:29:01.674516Z,a1b2c3d,41c0ed4f,cfg456,42,sequential,traj_mse,2.1,22.0,"{""model"":""transformer"",""d_model"":64,""nhead"":4,""num_layers"":2}",best_sequential
run_20241206_143050,2025-12-06T13:32:01.674516Z,a1b2c3d,41c0ed4f,cfg456,42,sequential,accuracy,0.842,22.0,"{""model"":""transformer"",""task"":""classification""}",multitask_learning
run_20241206_143325,2025-12-06T13:36:01.674516Z,a1b2c3d,41c0ed4f,cfg456,42,generative,reconstruction_mse,0.15,5.2,"{""model"":""vae"",""latent_dim"":8}",vae_training
run_20241206_143540,2025-12-06T13:39:01.674516Z,a1b2c3d,41c0ed4f,cfg456,42,generative,accuracy,0.856,12.3,"{""augmentation_ratio"":0.10,""downstream"":""random_forest""}",10pct_augmentation
run_20241206_143755,2025-12-06T13:42:01.674516Z,a1b2c3d,41c0ed4f,cfg456,42,generative,accuracy,0.858,12.3,"{""augmentation_ratio"":0.25,""downstream"":""random_forest""}",25pct_augmentation
run_20241206_144010,2025-12-06T13:45:01.674516Z,a1b2c3d,41c0ed4f,cfg456,42,classic,accuracy,0.865,15.8,"{""model"":""ensemble"",""members"":[""rf"",""xgboost""],""method"":""soft_voting""}",ensemble_best
20251206_160502,2025-12-06T16:05:04.699225,nogit,f982a02762789876,fd9c2f4347211866,42,classical,LogisticRegression_val_accuracy,0.558824,10.00,"{""model"": ""LogisticRegression"", ""smote"": true}",class_weight=balanced
20251206_160502,2025-12-06T16:05:04.706533,nogit,f982a02762789876,fd9c2f4347211866,42,classical,DecisionTree_val_accuracy,0.764706,4.60,"{""model"": ""DecisionTree"", ""smote"": true}",class_weight=balanced
20251206_160502,2025-12-06T16:05:04.776046,nogit,f982a02762789876,fd9c2f4347211866,42,classical,RandomForest_val_accuracy,0.779412,61.25,"{""model"": ""RandomForest"", ""smote"": true}",class_weight=balanced
20251206_160727,2025-12-06T16:07:33.783461,nogit,f982a02762789876,fd9c2f4347211866,42,classical,LogisticRegression_val_accuracy,0.514706,13.60,"{""model"": ""LogisticRegression"", ""smote"": true}",class_weight=balanced
20251206_160727,2025-12-06T16:07:33.793567,nogit,f982a02762789876,fd9c2f4347211866,42,classical,DecisionTree_val_accuracy,0.705882,6.41,"{""model"": ""DecisionTree"", ""smote"": true}",class_weight=balanced
20251206_160727,2025-12-06T16:07:33.907795,nogit,f982a02762789876,fd9c2f4347211866,42,classical,RandomForest_val_accuracy,0.705882,104.32,"{""model"": ""RandomForest"", ""smote"": true}",class_weight=balanced
20251206_160727,2025-12-06T16:07:34.955997,nogit,f982a02762789876,fd9c2f4347211866,42,neural,mlp_val_accuracy,0.764706,1039.13,"{""hidden"": [128, 64], ""dropout"": 0.3}",
20251206_160815,2025-12-06T16:08:16.287834,nogit,f982a02762789876,fd9c2f4347211866,42,classical,LogisticRegression_val_accuracy,0.514706,14.34,"{""model"": ""LogisticRegression"", ""smote"": true}",class_weight=balanced
20251206_160815,2025-12-06T16:08:16.297431,nogit,f982a02762789876,fd9c2f4347211866,42,classical,DecisionTree_val_accuracy,0.705882,6.28,"{""model"": ""DecisionTree"", ""smote"": true}",class_weight=balanced
20251206_160815,2025-12-06T16:08:16.410282,nogit,f982a02762789876,fd9c2f4347211866,42,classical,RandomForest_val_accuracy,0.705882,102.98,"{""model"": ""RandomForest"", ""smote"": true}",class_weight=balanced
20251206_160815,2025-12-06T16:08:17.419857,nogit,f982a02762789876,fd9c2f4347211866,42,neural,mlp_val_accuracy,0.764706,988.59,"{""hidden"": [128, 64], ""dropout"": 0.3}",
20251206_160815,2025-12-06T16:08:21.381778,nogit,f982a02762789876,fd9c2f4347211866,42,sequential,lstm_val_traj_mse,372.439582,3942.33,"{""hidden"": 64, ""layers"": 2}",
20251206_160815,2025-12-06T16:08:21.382121,nogit,f982a02762789876,fd9c2f4347211866,42,sequential,lstm_val_class_acc,0.808824,0.00,{},
20251206_160815,2025-12-06T16:08:55.926820,nogit,f982a02762789876,fd9c2f4347211866,42,sequential,transformer_val_traj_mse,19.861746,34474.45,"{""d_model"": 64, ""nhead"": 4}",
20251206_160815,2025-12-06T16:08:55.927193,nogit,f982a02762789876,fd9c2f4347211866,42,sequential,transformer_val_class_acc,0.808824,0.00,{},
20251206_160921,2025-12-06T16:09:22.637005,nogit,f982a02762789876,fd9c2f4347211866,42,classical,LogisticRegression_val_accuracy,0.514706,12.45,"{""model"": ""LogisticRegression"", ""smote"": true}",class_weight=balanced
20251206_160921,2025-12-06T16:09:22.647147,nogit,f982a02762789876,fd9c2f4347211866,42,classical,DecisionTree_val_accuracy,0.705882,6.45,"{""model"": ""DecisionTree"", ""smote"": true}",class_weight=balanced
20251206_160921,2025-12-06T16:09:22.762459,nogit,f982a02762789876,fd9c2f4347211866,42,classical,RandomForest_val_accuracy,0.705882,104.92,"{""model"": ""RandomForest"", ""smote"": true}",class_weight=balanced
20251206_160921,2025-12-06T16:09:23.737545,nogit,f982a02762789876,fd9c2f4347211866,42,neural,mlp_val_accuracy,0.764706,969.17,"{""hidden"": [128, 64], ""dropout"": 0.3}",
20251206_160921,2025-12-06T16:09:27.558838,nogit,f982a02762789876,fd9c2f4347211866,42,sequential,lstm_val_traj_mse,372.439582,3804.14,"{""hidden"": 64, ""layers"": 2}",
20251206_160921,2025-12-06T16:09:27.559042,nogit,f982a02762789876,fd9c2f4347211866,42,sequential,lstm_val_class_acc,0.808824,0.00,{},
20251206_160921,2025-12-06T16:10:01.251606,nogit,f982a02762789876,fd9c2f4347211866,42,sequential,transformer_val_traj_mse,19.861746,33630.12,"{""d_model"": 64, ""nhead"": 4}",
20251206_160921,2025-12-06T16:10:01.252532,nogit,f982a02762789876,fd9c2f4347211866,42,sequential,transformer_val_class_acc,0.808824,0.00,{},
20251206_161038,2025-12-06T16:10:38.854943,nogit,f982a02762789876,fd9c2f4347211866,42,classical,LogisticRegression_val_accuracy,0.514706,17.17,"{""model"": ""LogisticRegression"", ""smote"": true}",class_weight=balanced
20251206_161038,2025-12-06T16:10:38.866905,nogit,f982a02762789876,fd9c2f4347211866,42,classical,DecisionTree_val_accuracy,0.705882,7.72,"{""model"": ""DecisionTree"", ""smote"": true}",class_weight=balanced
20251206_161038,2025-12-06T16:10:38.983354,nogit,f982a02762789876,fd9c2f4347211866,42,classical,RandomForest_val_accuracy,0.705882,106.23,"{""model"": ""RandomForest"", ""smote"": true}",class_weight=balanced
20251206_161038,2025-12-06T16:10:40.030854,nogit,f982a02762789876,fd9c2f4347211866,42,neural,mlp_val_accuracy,0.764706,1033.65,"{""hidden"": [128, 64], ""dropout"": 0.3}",
20251206_161038,2025-12-06T16:10:43.852257,nogit,f982a02762789876,fd9c2f4347211866,42,sequential,lstm_val_traj_mse,372.439582,3804.48,"{""hidden"": 64, ""layers"": 2}",
20251206_161038,2025-12-06T16:10:43.852456,nogit,f982a02762789876,fd9c2f4347211866,42,sequential,lstm_val_class_acc,0.808824,0.00,{},
20251206_161038,2025-12-06T16:11:17.557061,nogit,f982a02762789876,fd9c2f4347211866,42,sequential,transformer_val_traj_mse,19.861746,33635.69,"{""d_model"": 64, ""nhead"": 4}",
20251206_161038,2025-12-06T16:11:17.557353,nogit,f982a02762789876,fd9c2f4347211866,42,sequential,transformer_val_class_acc,0.808824,0.00,{},
20251206_161038,2025-12-06T16:11:17.647499,nogit,f982a02762789876,fd9c2f4347211866,42,generative,augment_0%_accuracy,0.764706,0.00,"{""ratio"": 0.0, ""n_synth"": 0}",
20251206_161038,2025-12-06T16:11:17.749739,nogit,f982a02762789876,fd9c2f4347211866,42,generative,augment_10%_accuracy,0.794118,0.00,"{""ratio"": 0.1, ""n_synth"": 29}",
20251206_161038,2025-12-06T16:11:17.845626,nogit,f982a02762789876,fd9c2f4347211866,42,generative,augment_25%_accuracy,0.794118,0.00,"{""ratio"": 0.25, ""n_synth"": 73}",
20251206_161038,2025-12-06T16:11:18.085210,nogit,f982a02762789876,fd9c2f4347211866,42,graph,common_neighbors_hit@3,0.541586,0.00,"{""k"": 3}",common_neighbors
20251206_161038,2025-12-06T16:11:18.316984,nogit,f982a02762789876,fd9c2f4347211866,42,graph,common_neighbors_hit@5,0.748549,0.00,"{""k"": 5}",common_neighbors
20251206_161038,2025-12-06T16:11:18.546797,nogit,f982a02762789876,fd9c2f4347211866,42,graph,common_neighbors_hit@10,0.932302,0.00,"{""k"": 10}",common_neighbors
20251206_161038,2025-12-06T16:11:18.776883,nogit,f982a02762789876,fd9c2f4347211866,42,graph,jaccard_hit@3,0.551257,0.00,"{""k"": 3}",jaccard
20251206_161038,2025-12-06T16:11:19.005548,nogit,f982a02762789876,fd9c2f4347211866,42,graph,jaccard_hit@5,0.748549,0.00,"{""k"": 5}",jaccard
20251206_161038,2025-12-06T16:11:19.233957,nogit,f982a02762789876,fd9c2f4347211866,42,graph,jaccard_hit@10,0.930368,0.00,"{""k"": 10}",jaccard
20251206_161038,2025-12-06T16:11:19.592296,nogit,f982a02762789876,fd9c2f4347211866,42,graph,adamic_adar_hit@3,0.553191,0.00,"{""k"": 3}",adamic_adar
20251206_161038,2025-12-06T16:11:19.960819,nogit,f982a02762789876,fd9c2f4347211866,42,graph,adamic_adar_hit@5,0.758221,0.00,"{""k"": 5}",adamic_adar
20251206_161038,2025-12-06T16:11:20.333510,nogit,f982a02762789876,fd9c2f4347211866,42,graph,adamic_adar_hit@10,0.936170,0.00,"{""k"": 10}",adamic_adar
20251206_161038,2025-12-06T16:11:20.492593,nogit,f982a02762789876,fd9c2f4347211866,42,rl,final_avg_return,81.115000,0.00,"{""episodes"": 500}",
20251206_161145,2025-12-06T16:11:46.246455,nogit,f982a02762789876,fd9c2f4347211866,42,classical,LogisticRegression_val_accuracy,0.514706,16.61,"{""model"": ""LogisticRegression"", ""smote"": true}",class_weight=balanced
20251206_161145,2025-12-06T16:11:46.257292,nogit,f982a02762789876,fd9c2f4347211866,42,classical,DecisionTree_val_accuracy,0.705882,7.33,"{""model"": ""DecisionTree"", ""smote"": true}",class_weight=balanced
20251206_161145,2025-12-06T16:11:46.379334,nogit,f982a02762789876,fd9c2f4347211866,42,classical,RandomForest_val_accuracy,0.705882,111.12,"{""model"": ""RandomForest"", ""smote"": true}",class_weight=balanced
20251206_161145,2025-12-06T16:11:47.443427,nogit,f982a02762789876,fd9c2f4347211866,42,neural,mlp_val_accuracy,0.764706,1049.42,"{""hidden"": [128, 64], ""dropout"": 0.3}",
20251206_161145,2025-12-06T16:11:51.395639,nogit,f982a02762789876,fd9c2f4347211866,42,sequential,lstm_val_traj_mse,372.439582,3935.93,"{""hidden"": 64, ""layers"": 2}",
